key_resp.corr,key_resp.rt,,,,seqRT,randRT,,,,,,,,,,
1,0.4369962,,,,0.4369962,1.1517911,,,,,,,,,,
1,0.801139,,,,0.801139,0.4223569,,,,,,,,,,
1,0.7335863,,,,0.7335863,0.4684554,,,,,,,,,,
1,0.3397139,,,,0.3397139,0.4873283,,,,,,,,,,
1,0.3210505,,,,0.3210505,0.4320709,,,,,,,,,,
1,0.4182628,,,,0.4182628,0.5447391,,,,,,,,,,
1,0.644376,,,,0.644376,0.4148436,,,,,,,,,,
1,0.3241225,,,,0.3241225,0.415625,,,,,,,,,,
1,0.7550272,,,,0.7550272,0.37872,,,,,,,,,,
1,0.5056275,,,,0.5056275,0.3609016,,,,,,,,,,
1,0.7319337,,,,0.7319337,0.4199718,,,,,,,,,,
1,0.4091665,,,,0.4091665,0.5726007,,,,,,,,,,
1,0.4430964,,,,0.4430964,1.0773136,,,,,,,,,,
1,0.3521556,,,,0.3521556,0.6034165,,,,,,,,,,
1,0.2872966,,,,0.2872966,0.5520142,,,,,,,,,,
1,0.5675263,,,,0.5675263,0.4117538,,,,,,,,,,
1,0.5434683,,,,0.5434683,0.717561,,,,,,,,,,
1,0.5331945,,,,0.5331945,0.4847341,,,,,,,,,,
1,0.4813308,,,,0.4813308,0.4312819,,,,,,,,,,
1,0.3035288,,,,0.3035288,0.5588417,,,,,,,,,,
1,0.5762078,,,,0.5762078,0.5452785,,,,,,,,,,
1,0.5925527,,,,0.5925527,0.5755841,,,,,,,,,,
1,0.4152501,,,,0.4152501,0.4489807,,,,,,,,,,
1,0.3201408,,,,0.3201408,0.6424579,,,,,,,,,,
1,0.3475655,,,,0.3475655,0.4777343,,,,,,,,,,
1,0.386727,,,,0.386727,0.7883581,,,,,,,,,,
1,0.2936784,,,,0.2936784,0.5686164,,,,,,,,,,
1,0.3739629,,,,0.3739629,0.4502797,,,,,,,,,,
1,0.3504122,,,,0.3504122,0.8827062,,,,,,,,,,
1,0.4292859,,,,0.4292859,0.539712,,,,,,,,,,
1,0.6851953,,,,0.6851953,0.4251497,,,,,,,,,,
1,0.3907338,,,,0.3907338,0.5179181,,,,,,,,,,
1,0.2227939,,,,0.2227939,1.1463994,,,,,,,,,,
1,0.5685379,,,,0.5685379,0.5214912,,,,,,,,,,
1,0.3114997,,,,0.3114997,0.5735562,,,,,,,,,,
1,0.3905142,,,,0.3905142,0.4611104,,,,,,,,,,
1,0.3758794,,,,0.3758794,0.8676327,,,,,,,,,,
1,0.273514,,,,0.273514,0.4847274,,,,,,,,,,
1,0.4349788,,,,0.4349788,1.7499964,,,,,,,,,,
1,0.3468949,,,,0.3468949,0.6277832,,,,,,,,,,
1,0.4511078,,,,0.4511078,0.5688473,,,,,,,,,,
1,0.8049675,,,,0.8049675,0.4013415,,,,,,,,,,
1,0.4431524,,,,0.4431524,0.3360205,,,,,,,,,,
1,0.4886336,,,,0.4886336,0.4357795,,,,,,,,,,
1,0.5578784,,,,0.5578784,0.9991505,,,,,,,,,,
1,0.4067224,,,,0.4067224,0.475905,,,,,,,,,,
1,0.3399502,,,,0.3399502,0.44155,,,,,,,,,,
1,0.3709167,,,,0.3709167,0.6118898,,,,,,,,,,
1,0.7568045,,,,0.7568045,0.5306216,,,,,,,,,,
1,0.6011851,,,,0.6011851,0.4222613,,,,,,,,,,
1,0.5191873,,,,0.5191873,0.3737125,,,,,,,,,,
1,0.3260101,,,,0.3260101,0.4158419,,,,,,,,,,
1,0.3886677,,,,0.3886677,0.4193399,,,,,,,,,,
1,0.4183098,,,,0.4183098,0.3680955,,,,,,,,,,
1,0.3375535,,,,0.3375535,0.3997313,,,,,,,,,,
1,0.497401,,,,0.497401,0.4888381,,,,,,,,,,
1,0.4774617,,,,0.4774617,0.4445893,,,,,,,,,,
1,0.4603987,,,,0.4603987,0.5191589,,,,,,,,,,
1,0.8159054,,,,0.8159054,0.5609313,,,,,,,,,,
1,0.4661698,,,,0.4661698,0.589715,,,,,,,,,,
1,0.2493546,,,,0.2493546,0.419988,,,,,,,,,,
1,0.1751591,,,,0.1751591,0.4568101,,,,,,,,,,
1,0.4029501,,,,0.4029501,0.6050974,,,,,,,,,,
1,0.4156688,,,,0.4156688,0.3690419,,,,,,,,,,
1,0.365958,,,,0.365958,,,,,,,,,,,
1,0.3039077,,,,0.3039077,,,,,,,,,,,
1,0.422812,,,,0.422812,,,,,,,,,,,
1,0.364972,,,,0.364972,,,,,,,,,,,
0,0.3690419,,,,0.3690419,,,,,,,,,,,
1,0.7062286,,,,,,,,,,,,,,,
1,0.8165882,,,,,,,,,,,,,,,
1,0.5894714,,,,,,,,,,,,,,,
1,0.9222272,,,,,,,,,,,,,,,
1,0.4886775,,,,,,,,,,,,,,,
1,0.454141,,,,,,,,,,,,,,,
1,0.3583197,,,,,,,,,,,,,,,
1,0.5570228,,,,,,,,,,,,,,,
1,0.3398109,,,,,,,,,,,,,,,
1,0.3209754,,,,,,,,,,,,,,,
1,1.0111948,,,,,,,,,,,,,,,
1,0.4109321,,,,,,,,,,,,,,,
1,0.3544994,,,,,,,,,,,,,,,
1,0.4090831,,,,,,,,,,,,,,,
1,0.3275797,,,,,,,,,,,,,,,
1,0.5182878,,,,,,,,,,,,,,,
1,0.4258508,,,,,,,,,,,,,,,
1,0.7762518,,,,,,,,,,,,,,,
1,0.3244498,,,,,,,,,,,,,,,
1,0.665212,,,,,,,,,,,,,,,
0,0.3632934,,,,,,,,,,,,,,,
1,0.8006357,,,,,,,,,,,,,,,
1,0.6392018,,,,,,,,,,,,,,,
1,0.5647225,,,,,,,,,,,,,,,
1,0.4921854,,,,,,,,,,,,,,,
1,0.5076347,,,,,,,,,,,,,,,
1,0.575597,,,,,,,,,,,,,,,
1,0.4221224,,,,,,,,,,,,,,,
1,0.7195763,,,,,,,,,,,,,,,
1,0.5605254,,,,,,,,,,,,,,,
1,0.4992551,,,,,,,,,,,,,,,
1,0.3958582,,,,,,,,,,,,,,,
1,0.634562,,,,,,,,,,,,,,,
1,0.4384244,,,,,,,,,,,,,,,
1,0.7642062,,,,,,,,,,,,,,,
1,0.7902841,,,,,,,,,,,,,,,
1,0.6260489,,,,,,,,,,,,,,,
1,0.4326619,,,,,,,,,,,,,,,
1,0.4387536,,,,,,,,,,,,,,,
1,0.4690774,,,,,,,,,,,,,,,
1,0.3182314,,,,,,,,,,,,,,,
1,0.4526188,,,,,,,,,,,,,,,
1,0.3772467,,,,,,,,,,,,,,,
1,0.4497588,,,,,,,,,,,,,,,
1,0.4056644,,,,,,,,,,,,,,,
1,0.413266,,,,,,,,,,,,,,,
0,0.3732711,,,,,,,,,,,,,,,
1,0.658866,,,,,,,,,,,,,,,
1,0.6266645,,,,,,,,,,,,,,,
1,0.4830587,,,,,,,,,,,,,,,
1,0.8050216,,,,,,,,,,,,,,,
1,0.4177371,,,,,,,,,,,,,,,
1,0.6093318,,,,,,,,,,,,,,,
1,0.5627941,,,,,,,,,,,,,,,
1,0.5574236,,,,,,,,,,,,,,,
1,0.608577,,,,,,,,,,,,,,,
1,0.7216185,,,,,,,,,,,,,,,
1,0.5089222,,,,,,,,,,,,,,,
1,0.5220023,,,,,,,,,,,,,,,
1,0.7275789,,,,,,,,,,,,,,,
1,0.4653285,,,,,,,,,,,,,,,
1,0.4937262,,,,,,,,,,,,,,,
1,0.409316,,,,,,,,,,,,,,,
1,0.482827,,,,,,,,,,,,,,,
1,0.5645412,,,,,,,,,,,,,,,
1,0.5730214,,,,,,,,,,,,,,,
1,0.4248203,,,,,,,,,,,,,,,
1,0.5408517,,,,,,,,,,,,,,,
1,0.5768512,,,,,,,,,,,,,,,
1,0.4519945,,,,,,,,,,,,,,,
1,0.6506132,,,,,,,,,,,,,,,
1,0.3844115,,,,,,,,,,,,,,,
1,0.6440742,,,,,,,,,,,,,,,
1,0.7430082,,,,,,,,,,,,,,,
1,0.3943542,,,,,,,,,,,,,,,
1,0.4351402,,,,,,,,,,,,,,,
1,0.4736513,,,,,,,,,,,,,,,
1,0.4363808,,,,,,,,,,,,,,,
1,0.4820591,,,,,,,,,,,,,,,
1,0.4938037,,,,,,,,,,,,,,,
1,0.4532422,,,,,,,,,,,,,,,
1,0.4330744,,,,,,,,,,,,,,,
1,0.4384774,,,,,,,,,,,,,,,
1,0.5192487,,,,,,,,,,,,,,,
1,0.3817838,,,,,,,,,,,,,,,
1,0.4976651,,,,,,,,,,,,,,,
1,0.4080037,,,,,,,,,,,,,,,
1,0.5162825,,,,,,,,,,,,,,,
1,0.3600596,,,,,,,,,,,,,,,
1,0.408398,,,,,,,,,,,,,,,
0,0.412242,,,,,,,,,,,,,,,
1,0.5804116,,,,,,,,,,,,,,,
1,0.3630973,,,,,,,,,,,,,,,
1,0.4980389,,,,,,,,,,,,,,,
1,0.611812,,,,,,,,,,,,,,,
1,0.6453657,,,,,,,,,,,,,,,
1,0.6196855,,,,,,,,,,,,,,,
1,0.5558784,,,,,,,,,,,,,,,
1,0.4595896,,,,,,,,,,,,,,,
1,0.5990062,,,,,,,,,,,,,,,
1,0.4340721,,,,,,,,,,,,,,,
1,0.4184109,,,,,,,,,,,,,,,
1,0.5448742,,,,,,,,,,,,,,,
1,0.3326754,,,,,,,,,,,,,,,
1,0.4691265,,,,,,,,,,,,,,,
1,0.4159954,,,,,,,,,,,,,,,
1,0.7043005,,,,,,,,,,,,,,,
1,0.5681951,,,,,,,,,,,,,,,
1,0.4353522,,,,,,,,,,,,,,,
1,0.4813595,,,,,,,,,,,,,,,
1,0.4182409,,,,,,,,,,,,,,,
1,0.51577,,,,,,,,,,,,,,,
1,0.4244899,,,,,,,,,,,,,,,
1,0.4052492,,,,,,,,,,,,,,,
1,0.4850494,,,,,,,,,,,,,,,
1,0.4404413,,,,,,,,,,,,,,,
1,0.5071961,,,,,,,,,,,,,,,
1,0.4646688,,,,,,,,,,,,,,,
1,0.4893982,,,,,,,,,,,,,,,
1,0.4683254,,,,,,,,,,,,,,,
1,0.4923182,,,,,,,,,,,,,,,
1,0.442372,,,,,,,,,,,,,,,
1,0.382579,,,,,,,,,,,,,,,
1,0.4403677,,,,,,,,,,,,,,,
1,0.5059709,,,,,,,,,,,,,,,
1,0.5046275,,,,,,,,,,,,,,,
1,0.4287352,,,,,,,,,,,,,,,
1,0.4263582,,,,,,,,,,,,,,,
1,0.3679539,,,,,,,,,,,,,,,
1,0.3962928,,,,,,,,,,,,,,,
1,0.8596024,,,,,,,,,,,,,,,
1,0.469753,,,,,,,,,,,,,,,
1,0.5462406,,,,,,,,,,,,,,,
1,0.5918385,,,,,,,,,,,,,,,
1,0.5273592,,,,,,,,,,,,,,,
1,1.1517911,,,,,,,,,,,,,,,
1,0.4223569,,,,,,,,,,,,,,,
1,0.4684554,,,,,,,,,,,,,,,
1,0.4873283,,,,,,,,,,,,,,,
1,0.4320709,,,,,,,,,,,,,,,
1,0.5447391,,,,,,,,,,,,,,,
1,0.4148436,,,,,,,,,,,,,,,
1,0.415625,,,,,,,,,,,,,,,
1,0.37872,,,,,,,,,,,,,,,
1,0.3609016,,,,,,,,,,,,,,,
1,0.4199718,,,,,,,,,,,,,,,
1,0.5726007,,,,,,,,,,,,,,,
1,1.0773136,,,,,,,,,,,,,,,
1,0.6034165,,,,,,,,,,,,,,,
1,0.5520142,,,,,,,,,,,,,,,
1,0.4117538,,,,,,,,,,,,,,,
0,0.5013372,,,,,,,,,,,,,,,
1,0.717561,,,,,,,,,,,,,,,
1,0.4847341,,,,,,,,,,,,,,,
1,0.4312819,,,,,,,,,,,,,,,
1,0.5588417,,,,,,,,,,,,,,,
1,0.5452785,,,,,,,,,,,,,,,
1,0.5755841,,,,,,,,,,,,,,,
1,0.4489807,,,,,,,,,,,,,,,
1,0.6424579,,,,,,,,,,,,,,,
1,0.4777343,,,,,,,,,,,,,,,
1,0.7883581,,,,,,,,,,,,,,,
1,0.5686164,,,,,,,,,,,,,,,
1,0.4502797,,,,,,,,,,,,,,,
1,0.8827062,,,,,,,,,,,,,,,
1,0.539712,,,,,,,,,,,,,,,
1,0.4251497,,,,,,,,,,,,,,,
1,0.5179181,,,,,,,,,,,,,,,
1,1.1463994,,,,,,,,,,,,,,,
1,0.5214912,,,,,,,,,,,,,,,
1,0.5735562,,,,,,,,,,,,,,,
1,0.4611104,,,,,,,,,,,,,,,
1,0.8676327,,,,,,,,,,,,,,,
1,0.4847274,,,,,,,,,,,,,,,
1,1.7499964,,,,,,,,,,,,,,,
1,0.6277832,,,,,,,,,,,,,,,
1,0.5688473,,,,,,,,,,,,,,,
1,0.4013415,,,,,,,,,,,,,,,
1,0.3360205,,,,,,,,,,,,,,,
1,0.4357795,,,,,,,,,,,,,,,
1,0.9991505,,,,,,,,,,,,,,,
1,0.475905,,,,,,,,,,,,,,,
